PA,"G G and C Bus Company, Inc."
PA,Lehigh and Northampton Transportation Authority
PA,Luzerne County Transportation Authority
PA,Mid Mon Valley Transit Authority
PA,Pennsylvania Department of Transportation
PA,Port Authority of Allegheny County
PA,Red Rose Transit Authority
PA,Shenango Valley Shuttle Service
PA,Southeastern Pennsylvania Transportation Authority
PA,"Trans-Bridge Lines, Inc."
PA,Westmoreland County Transit Authority
PA,Williamsport Bureau of Transportation
PA,York County Transportation Authority
PA,Other
PR,Metropolitan Bus Authority
PR,Puerto Rico Highway and Transportation Authority
PR,Puerto Rico Ports Authority
PR,Other
RI,Bonanza
RI,Rhode Island Public Transit Authority
RI,Other
SC,Central Midlands Regional Transit Authority
SC,Charleston Area Regional Transportation Authority
SC,Greenville Transit Authority
SC,Pee Dee Regional Transportation Authority
SC,Santee Wateree Regional Transportation Authority
SC,Spartanburg Transit System
SC,Waccamaw Regional Transportation Authority
SC,Other
SD,Rapid Transit System
SD,Sioux Falls Transit
SD,Other
TN,Chattanooga Area Regional Transportation Authority
TN,Clarksville Transit System
TN,Jackson Transit Authority
TN,Johnson City Transit System
TN,Knoxville Area Transit
TN,Memphis Area Transit Authority
TN,Metropolitan Transit Authority
TN,Other
TX,Abilene Transit System
TX,Amarillo City Transit
TX,Beaumont Municipal Transit System
TX,Brazos Transit District
TX,Capital Metropolitan Transportation Authority
TX,City of Brownsville - Brownsville Urban System
TX,City of Denton Public Transportation Department
TX,City of San Angelo
TX,"City Transit Management Company, Inc."
TX,Corpus Christi Regional Transportation Authority
TX,Dallas Area Rapid Transit
TX,Fort Worth Transportation Authority
TX,Golden Crescent Regional Planning Commssion
TX,Hill Country Transit District
TX,Island Transit
TX,"Laredo Transit Management, Inc."
TX,Lower Rio Grande Valley Development Council
TX,Mass Transit Department - City of El Paso
TX,"Metropolitan Transit Authority of Harris County, Texas"
TX,Midland-Odessa Urban Transit District
TX,Port Arthur Transit
TX,Texoma Council of Governments Transportation Department
TX,VIA Metropolitan Transit
TX,"Waco Transit System, Inc."
TX,Other
UT,"City of Logan, dba: The Logan Transit District"
UT,Utah Transit Authority
UT,Other
VA,Blacksburg Transit
VA,Charlottesville Transit Service
VA,City of Alexandria - Alexandria Transit Company
VA,City of Danville Mass Transit System
VA,City of Fairfax CUE Bus
VA,City of Harrisonburg Department of Public Transportation
VA,Fairfax Connector Bus System
VA,Fredericksburg Regional Transit
VA,Greater Lynchburg Transit Company
VA,Greater Richmond Transit Company
VA,Greater Roanoke Transit Company
VA,Loudoun County Commuter Bus Service - Office of Transportation Services
VA,Petersburg Area Transit
VA,Potomac and Rappahannock Transportation Commission
VA,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit"
VA,Virginia Railway Express
VA,Williamsburg Area Transport
VA,Other
VT,Chittenden County Transportation Authority
VT,Other
WA,Ben Franklin Transit
WA,Central Puget Sound Regional Transit Authority
WA,City of Seattle - Seattle Center Monorail Transit
WA,Clark County Public Transportation Benefit Area Authority
WA,Community Urban Bus Service
WA,Everett Transit
WA,Intercity Transit
WA,King County Department of Transportation - Metro Transit Division
WA,Kitsap Transit
WA,Link Transit
WA,Pierce County Ferry Operations
WA,Pierce County Transportation Benefit Area Authority
WA,Skagit Transit
WA,Snohomish County Transportation Benefit Area Corporation
WA,Spokane Transit Authority
WA,Washington State Ferries
WA,Whatcom Transportation Authority
WA,Yakima Transit
WA,Other
WI,Belle Urban System - Racine
WI,City of Appleton - Valley Transit
WI,City of Beloit Transit System
WI,City of Waukesha Transit Commission
WI,Eau Claire Transit
WI,Fond du Lac Area Transit
WI,Green Bay Metro
WI,Janesville Transit System
WI,Kenosha Transit
WI,LaCrosse Municipal Transit Utility
WI,Metro Transit System
WI,Milwaukee County Transit System
WI,Oshkosh Transit System
WI,Ozaukee County Transit Services
WI,Sheboygan Transit System
WI,Washington County Transit
WI,Wausau Area Transit System
WI,Other
WV,Kanawha Valley Regional Transportation Authority
WV,Monongalia County Urban Transit
WV,Ohio Valley Regional Transportation Authority
WV,The Tri-State Transit Authority
WV,Other
WY,"Casper Area Transportation Coalition, Inc."
WY,The City of Cheyenne Transit Program
WY,Other
